artist_mbid,total_playcount,total_listeners,Disco,Gangsta Rap,Grunge,Hip-Hop,House,Kpop,Neo-Psychedelia,Neo-Soul,Nu Metal,Progressive rock,Reggaeton,alt-pop,alternative,alternative metal,alternative rock,art pop,classic rock,cloud rap,country,dance,dance-pop,dream pop,electronic,electropop,emo,emo rap,folk,funk,hard rock,heavy metal,hip hop,hyperpop,indie,indie folk,indie pop,indie rock,jazz,k-pop,metal,metalcore,new wave,pop,pop punk,pop rap,pop rock,post-hardcore,post-punk,punk,punk rock,rage,rap,rnb,rock,shoegaze,soft rock,soul,synthpop,trap,artist_enc_id
038bd27c-ebec-44e5-9880-1f5eb933db11,5278798,1185605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
03ad1736-b7c9-412a-b442-82536d63a5c4,233060856,29183364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
03d561c0-b4e1-49df-bd72-24dfeaf245e7,14404515,1335552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
044fd265-79dd-43eb-afc4-8b20becf7e17,69221846,11912174,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19
04a5ed75-6c9f-4d50-87bd-9600abbe68f7,13858802,1386958,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
04af2581-6692-4f14-a7fe-151a36f20368,33500919,5312143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
05517043-ff78-4988-9c22-88c68588ebb9,44086110,9101590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
056e4f3e-d505-4dad-8ec1-d04f521cbb56,330368323,52476850,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
05aab861-e2fc-492c-8549-c6a1b6cfefa0,38856716,2477915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
05dffdbe-dc6e-4c8d-a075-50a09c4cb45c,63234099,6437490,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25
