song_mbid,artist_mbid,song_name,artist_name,Disco,Gangsta Rap,Grunge,Hip-Hop,House,Kpop,Neo-Psychedelia,Neo-Soul,Nu Metal,Progressive rock,Reggaeton,alt-pop,alternative,alternative metal,alternative rock,art pop,classic rock,cloud rap,country,dance,dance-pop,dream pop,electronic,electropop,emo,emo rap,folk,funk,hard rock,heavy metal,hip hop,hyperpop,indie,indie folk,indie pop,indie rock,jazz,k-pop,metal,metalcore,new wave,pop,pop punk,pop rap,pop rock,post-hardcore,post-punk,punk,punk rock,rage,rap,rnb,rock,shoegaze,soft rock,soul,synthpop,trap
002dd514-f96a-4832-b226-d52827aa6504,61a57a2a-4c7f-4b41-8109-1070a9c32242,Anchor,Novo Amor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002fcb5e-e450-4306-8598-8851888b003a,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,Come & Get It,Selena Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003079e2-b52d-4c6d-bbac-186176b164f8,9fff2f8a-21e6-47de-a2b8-7f449929d43f,Hotline Bling,Drake,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00321820-f015-4552-9b92-780b0321bede,44cf61b8-5197-448a-b82b-cef6ee89fac5,Fences,Paramore,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0034214e-6f4c-441e-8776-927b66fc6646,7593e0e2-fc1c-4855-a645-731c7504e16b,Cry for Love,BAEKHYUN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00343d54-9aac-4fbe-b9b9-4f1ca732b38d,cc0b7089-c08d-4c10-b6b0-873582c17fd6,Hypnotize,System of a Down,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
00348281-f9a5-4c14-a14d-60c9a84e04b4,7eb1ce54-a355-41f9-8d68-e018b096d427,Sweet Creature,Harry Styles,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
00352978-6080-41f5-976c-83bb9fa38701,0d79fe8e-ba27-4859-bb8c-2f255f346853,Love Maze,BTS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00360039-bbdf-35a0-9ef5-3f244d617aed,f59c5520-5f46-4d2c-b2c4-822eabf53419,No More Sorrow,Linkin Park,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0039e104-1316-4b36-881b-2e88e4a4a845,bfcb6630-9b31-4e63-b11f-7b0363be72b5,Stubborn Love,The Lumineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003ac778-257a-4b6d-b339-5c2141433900,122d63fc-8671-43e4-9752-34e846d62a9c,Unconditionally,Katy Perry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003adc88-b7a5-3d0c-820a-512fbfcded64,03ad1736-b7c9-412a-b442-82536d63a5c4,Needle in the Hay,Elliott Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
