name,hash,x,y,z
spanish pop,901a2a40,26.0695,-84.0101,22.7689
punk,5940e313,-123.9742,-21.8411,-5.742
alternative r&b,91332b8c,103.6183,1.755,-20.7223
grupera,8e812565,90.5413,-16.8348,-27.0016
west coast rap,3e63f0a8,208.6749,-121.9648,9.1649
opm,69a71719,-36.1356,46.3797,8.5408
boy band,5f9f24af,-5.4118,-140.0546,8.093
psychedelic rock,83d255a3,-33.8969,80.0844,13.1563
glam metal,9e6339f0,-139.1154,-43.7573,-18.8422
stomp and holler,b662e997,-66.9935,68.7339,18.371
desi hip hop,f92b0cd7,133.9723,-84.5779,-8.2402
ccm,ee137db3,-124.3478,-97.3588,8.106
rage rap,92fb0e16,105.9473,-145.5317,14.8343
hip pop,696c7a5c,119.6913,-126.4095,15.4421
puerto rican pop,e402dd0e,81.2459,-117.783,8.1262
german pop,67c9feaf,41.3011,-82.0633,1.3556
miami hip hop,ff270c9e,154.078,-160.8805,-6.3969
argentine rock,ccdef8aa,-27.7037,-23.656,-0.6125
sertanejo pop,f31d3c9f,52.8571,-43.0132,4.3041
tropical,4a073902,155.9606,62.3995,-17.7825
glam rock,6b1557d7,-53.6951,19.1515,-2.9662
funk carioca,c0b1f326,238.1671,-76.5746,7.981
nigerian pop,b1572398,159.6547,-24.9334,-0.7817
argentine hip hop,672903be,181.1216,-71.5886,14.3882
dark trap,dbb10409,110.6611,-152.2893,3.7022
latin viral pop,228b2e11,99.2097,-156.9033,19.761
piano rock,a51ce342,-49.9344,52.3531,13.6276
detroit hip hop,cb049212,143.9159,-10.7436,2.3824
italian adult pop,da460aca,-13.9362,40.0478,24.1047
country rock,14ad4a77,-13.4635,68.7505,-12.0589
underground hip hop,c6f5112d,111.0586,-49.9813,-9.828
mexican hip hop,22470918,173.8458,-84.6192,1.0323
progressive electro house,971f1ff5,34.4039,-216.0672,-23.345
synthpop,10f73ab7,10.0841,-158.4457,-4.084
metropopolis,8d1d4101,-71.1445,-131.5168,11.2557
garage rock,f97a784c,-115.4497,-27.6958,26.9835
indie folk,636d8fe7,-32.4746,106.7152,7.4579
vocal jazz,8c721cc5,37.8811,249.0779,-20.2189
classical,4a19573b,-113.9848,277.9541,3.9704
europop,a00a0fa9,34.5252,-170.3595,-20.9641
progressive house,92ba04a3,-3.2813,-203.5243,13.4398
art rock,2834a075,-70.4082,57.6881,6.0232
yacht rock,704e475f,21.8435,16.2553,4.1259
mpb,6b4038a5,62.4633,64.3279,-1.8342
pagode,00869faf,47.5049,30.5626,5.8076
tropical house,853a881d,59.2492,-150.4855,-0.043
urbano espanol,a86518db,142.0005,-7.1216,6.204
chamber pop,9825c372,-94.1022,83.3501,-7.8803
rap francais,1fef628a,167.4656,-43.7504,-4.9128
dance rock,b3eb7d4b,-16.6758,-171.7436,-4.7425
j-rock,37d5aa3c,-111.6282,-104.6449,4.1506
polish hip hop,c1dd1c20,135.6717,-45.033,-5.1121
sleep,c3ca5f78,-301.8071,157.6333,29.5999
folk,2d02ecf8,14.3778,138.012,-0.069
anime,11a3e059,-103.7583,-126.9853,-4.5851
trap brasileiro,d73ec0d7,161.1979,-19.0891,-8.1992
disco,9a1c2a67,75.2395,-36.466,-7.949
pluggnb,a5e639d8,50.5351,-109.6871,0.8992
british soul,e6217b7c,56.7906,-101.3974,-24.0412
metalcore,bab4ff64,-201.4543,-146.1864,-4.5684
australian pop,54c510fb,5.9231,-98.7987,11.4319
uk hip hop,e4164bbf,148.1871,-0.4418,-6.5815
christian music,9008989c,-119.8814,-99.7964,-2.6494
