name,hash,x,y,z
polish alternative,1e2d0fdc,4.3706,-31.4153,-3.2167
swedish drill,90fc17f2,169.2364,-53.6073,1.6694
harlem renaissance,9216d9c0,117.6848,242.7578,34.6751
uk doom metal,68f0fe7c,-199.7546,41.8994,5.0659
hard bop,b3e2f480,67.4897,202.1037,2.8949
jazztronica,ce978989,82.1757,-99.0248,8.8269
portuguese pop,7c7e5be9,78.0105,-28.8316,5.1993
classic soundtrack,6b6edbbc,-167.9922,164.4569,39.9404
italian baroque,f6e0a240,-93.4209,213.9844,3.2585
westcoast flow,1b9de4ca,189.1443,-44.6764,-1.9787
rap chileno,fa7482c7,173.4371,34.1115,-13.0345
rap geek,cb86abfb,56.5466,-58.3019,-24.9171
russian romanticism,66914831,-143.5039,278.2883,-11.7255
j-pop girl group,19df964e,-73.9426,-202.7898,-7.7248
new school turkce rap,61d04dcf,109.1987,-5.4726,-12.6891
sleaze rock,bc54c082,-151.7928,-105.1146,-1.1641
brazilian jazz,37ce16c0,65.3002,170.2164,-12.4585
electronic rock,edd73eff,1.004,-195.1653,6.1495
chill abstract hip hop,d62b78fe,53.372,36.6831,3.5128
jazz guitar,07c000be,155.7788,180.9654,-1.5085
rhythm game,bd09e64f,-64.4893,-158.3808,-6.2683
proto-metal,68c317e1,-132.4684,34.8909,16.6397
prog metal,2af140fc,-156.8664,-76.6701,2.886
bassline,28b4433c,208.3639,-196.9359,4.2764
retro soul,b865a6af,52.0569,-4.3104,10.5952
jazz fusion,0c12e7dd,17.0297,141.2463,0.6801
latin afrobeat,54e86caa,107.3259,-94.9247,-10.0985
classic colombian pop,038b672c,209.5731,84.0005,-8.9129
iskelma,6f8d632b,-11.2278,-35.5979,17.9418
proto-hyperpop,3f5946d5,59.0507,-110.0601,10.815
japanese classical,1ba93623,-137.4309,200.3227,7.6887
electro swing,f6054faf,172.0718,-155.8371,-19.432
rock nacional,74742415,-1.7515,117.5584,7.5552
rap cearense,ee565fe9,157.2612,-34.4528,-7.966
rock gaucho,48ade96e,-46.5683,-25.8562,-5.8565
pop folk,8aaa2235,-65.8563,102.0515,-14.0842
spanish punk,2690f7da,-101.8201,-94.1617,-1.4649
australian children's music,abce74dc,161.2286,83.9014,-8.6563
rock kapak,1b5f604f,-50.4214,-71.7563,18.2703
cyberpunk,bf00f417,-63.5556,-191.8952,4.5691
eau claire indie,06d2dccc,-114.3821,104.591,9.321
scottish singer-songwriter,b14b0868,-9.4711,72.4442,18.4311
lo-fi vgm,c813c431,83.1084,-63.1685,7.8733
chicha,82ba2650,107.1644,32.2479,-22.0253
french soundtrack,f8c8d275,-165.3908,160.0935,-10.867
deep german hip hop,a5e56f3b,106.9085,-26.7851,-2.4949
classic city pop,0fb0a856,28.0319,-59.0776,-1.5357
salsa venezolana,f73a2110,179.0681,50.6378,-19.8751
hardcore techno,6537eca1,-14.7641,-205.8449,27.6058
classic russian pop,159dc589,42.9959,-46.1206,4.9802
ottawa rap,f33dbd1e,152.7382,-59.778,-3.4879
turkish deep house,3ec95680,145.4026,-193.2056,-1.9394
stomp pop,b83c2874,-96.2904,-69.6072,20.9982
nintendocore,84c93012,-149.9734,-94.8945,0.9541
boom bap brasileiro,3f6058ca,165.6348,13.0919,20.1438
italo disco,924b3787,125.2869,-189.5215,23.5506
ghanaian pop,3d78323d,173.5895,-42.2005,-6.3049
rap sardegna,564e80a9,163.0744,-59.3048,20.0535
lata,00366908,-4.8102,229.9366,7.2619
latin jazz,3fb03d16,141.1118,155.5883,-49.5843
swedish power metal,ee77f48e,-204.2645,-150.9969,2.1572
anime rap,a8e50f0f,123.3821,-112.3963,4.4569
hk-pop,e205c5e4,-3.7064,0.1891,17.9294
classic arab pop,af740893,-30.8179,119.7938,-3.3374
rap underground espanol,852107db,125.0002,47.7792,-0.253
italian alternative,19634e51,-42.1904,-15.6079,10.2193
glitch hop,7c342374,61.9361,-155.5668,12.7535
forro de favela,194d3a70,90.327,-22.2836,2.7004
black metal,60a10fd2,-244.8562,9.7762,-17.551
filthstep,96893a93,6.3816,-157.9188,-2.6161
spanish metal,2c6303e1,-147.1974,-112.619,-0.6102
boston hip hop,394c1f49,106.8768,-45.3534,-9.198
romanian trap,888d1e5b,148.6436,-126.5926,-3.7974
cumbia santafesina,324df076,96.4171,-7.5774,-7.2739
german r&b,327767c3,120.1904,-83.9959,1.8226
thai rock,86df9067,-27.7204,-120.7894,7.0167
anthem emo,82651009,-160.1348,-165.4842,-9.8827
merengue,f5d197bd,151.5126,54.9983,-12.9202
rock brasiliense,de53bccf,-112.8188,-59.4716,2.2505
banda sinaloense,d6c92132,80.6073,62.6159,-10.2504
french reggae,20152d17,148.0051,-44.4997,1.3784
trap carioca,ba9406c3,175.7543,-87.0311,4.5333
hands up,f3223616,34.9827,-242.1761,-16.0255
german underground rap,1ac14470,180.4504,-39.8121,-5.7933
atlanta indie,a69fa07f,-123.0791,-12.6731,13.2864
bitpop,ac2c63bd,21.6987,-160.845,9.6371
newcastle nsw indie,34ae5a8e,-113.6741,-34.4816,22.8232
christian pop,0ae5c62f,-40.1197,-96.447,1.9323
bandung indie,96be9ab5,-114.0073,-88.9656,11.7185
chill breakcore,06b59058,-69.3808,-142.8801,-12.8573
classic uk pop,add9e8cd,1.728,38.0834,1.4367
flamenco,80ed2e44,96.1579,179.3209,-27.848
musica tlaxcalteca,06dc7e0f,92.3404,-40.7121,10.7318
indie electropop,064d1705,10.5109,-71.9597,9.2752
deep disco house,12c90c5f,253.9527,-231.0662,10.7395
livetronica,52565824,53.8024,-143.9606,-7.2387
chicago punk,45dbb834,-138.8129,-74.5746,2.0411
aussie drill,498917e9,238.2876,-69.6671,-5.9923
mahraganat,d6dd3a8b,180.7115,-140.3416,-4.6308
pet calming,84c667d1,-100.5726,226.6247,8.7325
classic russian rock,0f4a9443,5.9355,14.1147,10.4999
pop violin,bf6711ad,-193.281,110.2637,-10.0511
nederpop,4ba9237a,-30.762,42.6438,16.8166
indie punk,4d1a0598,-153.6294,-18.4787,13.5579
reggaeton cristiano,30774fc3,130.7256,-109.3374,-2.6734
breakbeat,cd1d5f30,114.8096,-211.299,23.1294
lo-fi rap,de9aebbe,114.0823,24.2274,-3.2945
palm desert scene,be5a3f25,-132.5864,16.4765,15.797
german punk,ff2dceb8,-122.0988,-52.4564,8.4413
afghan pop,a200df1f,50.1357,48.6694,-0.4654
folk punk,d904d1af,-41.1166,66.3405,6.3595
argentine alternative rock,9102d242,-67.1056,-108.5872,-17.41
finnish metal,f9b2f1d7,-222.8855,-147.0637,-5.672
boston folk,ec25193f,-23.6677,104.4868,0.4578
nordic soundtrack,efe778c6,-209.6059,108.392,-3.6614
cumbia del sureste,6f368a99,175.087,-81.4134,6.9018
australian alternative rock,ad9dd329,-116.2343,-9.9309,-3.754
desi emo rap,7ca51261,149.915,43.6861,1.8815
violao,2a06a772,95.3576,181.1424,-23.1763
grave wave,d45ab979,-59.2523,-145.246,2.1271
abstract hip hop,210b28ca,67.8988,-54.1372,23.0305
israeli mediterranean,bda36a14,-6.3518,-43.1368,7.0804
german pop rock,fa205c98,-78.0265,-135.4954,2.4389
lovers rock,3fdbd589,218.6628,-80.0806,19.4223
barnsagor,5e5fa293,284.1679,172.098,-51.749
fantasy metal,5aad12da,-221.3611,-118.5737,-2.3364
melodic thrash,081a8db9,-180.3825,-70.5987,2.9614
mississippi hip hop,44d3b767,156.6024,-122.6603,-2.5238
german singer-songwriter,967cfa49,36.1188,14.0712,21.0647
lo-fi emo,ceb9e4d6,-136.2901,46.7621,2.7676
cumbia ranchera,9c085b2d,85.6733,-117.4139,19.2064
future house,0f2681f3,69.2196,-198.2767,-6.2909
anthem worship,188f026d,-153.1871,-59.3433,-12.546
australian metalcore,d1a847cf,-216.489,-151.8016,12.6907
thai indie rock,b88b3673,-26.5588,-106.8275,6.6305
dembow dominicano,7ac3df2b,275.0882,-38.7459,-38.2279
icelandic indie,6989b79e,-67.1756,57.8106,9.0247
dark synthpop,7796c6c0,-47.5838,-200.944,16.0959
upstate ny rap,ef29e296,112.9431,-0.3362,-10.7287
acoustic opm,35d84506,-6.4729,91.7842,-1.2638
australian country,74c09949,15.6628,-9.3355,15.3032
venezuelan rock,347fe9b7,41.1484,-35.9138,22.1917
scream rap,2129a2eb,52.6914,-129.3409,12.2721
morelos indie,1f4b20db,-74.5272,-103.9954,-10.5801
bboy,5abbdb66,154.1125,-143.8417,-1.1288
noise rock,bcf3a613,-163.7706,17.4666,3.0889
narco rap,281c6097,242.9414,-84.055,13.5093
sholawat,43d1d4ee,-5.4547,9.3525,1.6342
manchester hip hop,f330f609,161.0184,19.9951,-4.4958
future bass,a9274393,27.5126,-94.2586,20.4779
organic electronic,5250e8c2,231.0975,-187.6475,20.7158
pop nacional antigas,eeb88600,-5.6873,80.3857,29.2109
instrumental funk,6b4d0aa0,97.9817,64.6677,10.5092
k-indie,bcf54957,15.813,14.7824,0.5745
cumbia sonorense,a372aaf1,160.5441,53.195,-11.4044
carnaval,2b0b5e5f,50.8803,-166.9802,-30.4718
digital hardcore,9021cde1,-79.02,-209.4068,-6.2366
dutch indie,2ce74984,-69.2664,21.1838,10.4246
garage rock revival,dac6c43d,-134.8456,-36.9734,-4.2025
indie liguria,78947efc,41.5315,-135.7476,4.3653
ghanaian hip hop,c2652223,181.928,-56.5274,-1.7166
trap venezolano,6acf764a,179.8907,-32.2657,-6.0329
traphall,15bca4e6,181.4429,20.4693,-15.3329
belgian dance,1ee25aa7,133.3535,-224.1109,27.551
swedish melodeath,5a328a80,-231.6925,-110.154,7.095
kirtan,cb762705,-86.3717,104.8751,2.5575
qawwali,311f3da3,41.6389,85.8124,11.3382
cancion infantil latinoamericana,9e89c7a3,139.9786,98.6384,5.7318
polish classical,66da3b8b,-84.2695,302.6367,12.8627
reggae en espanol,d64d3a3d,184.9382,-130.5814,-9.8068
detroit trap brasileiro,ad64a1fb,162.4098,-95.2502,8.2852
psychedelic soul,62f14ec7,45.8714,14.1989,13.2053
kizomba,e52f7dbf,122.7528,-145.9066,25.1645
nerdcore brasileiro,b58b87ae,-31.6008,-77.1507,-13.0951
canzone napoletana,f7b3207c,-79.8603,180.6485,-4.6593
neue neue deutsche welle,c3d0ebe0,27.6755,-143.5002,-10.0272
chinese r&b,2da82e5d,18.9951,-56.5263,14.9017
thai hip hop,a03c4416,150.9317,-68.7212,-12.6579
uptempo hardcore,c8a1c242,-62.0552,-176.8514,3.2409
indian folk,d5f47aab,26.7742,-21.1422,0.3582
modern reggae,bd33e1e1,160.8752,-12.4369,6.1807
happy hardcore,0f99c7ae,16.33,-222.8025,21.1589
musica tradicional cubana,d235976a,154.4155,184.6423,-18.5646
solo wave,10769945,-72.1884,-5.8906,-9.4446
canadian soundtrack,a6c26098,-210.9689,135.4508,39.9389
classic sierreno,a3d5f52c,159.4592,90.8336,-6.3695
egyptian trap,4ef85324,123.7853,8.7951,-9.8441
classic praise,c26e5404,-79.0405,70.5945,-4.4419
asian american hip hop,c19fc7bc,135.1871,-94.1553,8.5885
swedish pop rap,40571ce4,123.6119,15.8724,-2.8183
turkish psych,6683d4bb,-9.8089,89.4748,-1.0224
veracruz indie,bf905b1d,22.8418,-0.4869,6.8288
icelandic rock,ebb9ea14,-33.188,-3.8968,8.2876
finnish power metal,6c4dee15,-204.2302,-160.71,18.0361
indonesian reggae,f06e9a2f,-128.5106,36.3673,19.5723
bubble trance,ac45268e,123.5954,-227.4849,40.7572
acoustic guitar cover,851af3d6,132.7283,130.5851,-1.3357
pop virale italiano,9e75556e,71.7906,-31.5505,4.9045
rai,d4c498b6,56.4713,-52.3527,-27.5543
danish rock,1874b153,-121.435,-114.909,-6.6732
liquid funk,3c617319,144.6356,-222.5188,1.9886
turkish jazz,0d10c5c1,9.2366,130.508,0.1492
tontipop,9f5c1c6e,-58.565,-123.5414,12.5407
dansband,5559fb1c,-40.2947,-81.0667,-7.2408
pianissimo,e41cefe0,16.4942,268.3762,-1.7336
kayokyoku,d47ab962,-50.0413,41.1768,23.5109
singaporean mandopop,f34a4a1e,-50.4338,43.8349,22.1263
bronx hip hop,46487976,204.5759,-86.4406,19.0467
jazz trio,777ddd1e,106.0299,198.1678,15.2528
japanese punk rock,7138d261,-142.1086,-83.4166,-4.1044
dark clubbing,b390d522,20.3803,-197.5568,9.4165
electro-pop francais,c3dbefbf,86.4432,-104.6445,-4.8904
egyptian hip hop,238206f9,121.6758,47.4481,-9.6651
french shoegaze,bc2f8741,-192.9762,-44.2645,-15.1772
drill italiana,369606f2,132.0676,-41.8879,-2.6855
aggressive phonk,5e180732,64.6575,-185.4273,-1.1383
uk dnb,cdfdb72d,143.9191,-207.9175,9.0031
progressive metalcore,b7a209e3,-223.0951,-175.3953,24.3874
french romanticism,0c62cdec,-169.5666,281.265,5.5143
neo r&b,f5a70909,81.4721,-17.3511,4.374
german house,09903788,228.1213,-212.2826,3.0415
electropowerpop,4efa01df,-43.4803,-162.4839,3.8976
japanese alternative pop,88adca61,-8.5176,-50.9825,-6.5148
vegas indie,00437896,-88.4808,-97.3809,17.0201
austindie,02150da6,-82.038,-21.4175,13.3713
uk reggae,cb979bf3,206.8614,-156.5415,13.1817
healing,4f4f4174,-251.6385,150.3118,17.0375
musica triste brasileira,6c0ad26e,91.2111,24.839,-3.2999
samba-enredo,4b69b104,56.4297,35.4516,-29.9895
afro soul,a238dea3,113.1871,-134.8547,17.673
jovem guarda,b8bdc7ac,-17.9728,65.8741,32.1922
gujarati garba,dce56d45,10.639,95.5644,-11.4028
nightcore,5ee89483,39.447,-126.6249,-14.8587
saskatchewan indie,f4e4265a,-62.0568,38.6125,4.8284
swedish death metal,f5fb892b,-226.9981,-37.7834,-11.2282
hamburg electronic,63a46a39,183.6353,-224.5545,0.1984
canadian americana,9a2c6678,-23.1148,99.4907,3.6865
umbanda,ec5a682f,120.5692,124.6481,-21.4249
souldies,6d8edc7c,4.2013,80.5593,29.9929
anti-folk,c463b730,33.2607,58.5588,-4.7556
riot grrrl,c7602ddd,-118.658,-23.3573,9.9848
monterrey indie,21e1610c,-54.7959,-127.5796,11.0737
mexican classic rock,171cdbf3,-31.1569,59.3347,2.4004
new orleans jazz,a5b60537,142.3586,214.2032,8.4186
organic house,9b215e2b,251.1912,-232.5322,17.6123
dixieland,ba10ae74,161.1666,220.5788,14.5103
cosmic american,5c8e41c2,3.3772,108.3209,-8.828
rap feminino nacional,faad5df2,161.7138,-10.4267,11.9501
british alternative rock,ef0bba10,-150.4424,-101.0085,8.8766
indonesian idol pop,152badc5,-42.987,-174.394,1.9404
jawaiian,6a16743c,143.71,-108.9708,-10.8478
mariachi cristiano,277e43d7,14.9587,45.6266,6.8271
classic cantopop,915e426e,-14.9646,36.3619,6.5688
romantico,507b2d00,125.5803,113.1863,-13.6491
german power metal,8dbf49b7,-206.0266,-138.2752,-7.3481
classic disco polo,dd5aff25,130.6066,-204.0783,3.0243
musique pour enfants,80363e2d,-230.0382,132.8376,-13.5167
swedish tropical house,5388b15b,48.4336,-191.3883,-0.9385
discofox,6ab95fb1,32.171,-220.7511,-23.5367
chilena,a3d2efdd,169.0657,48.8729,2.2991
j-metal,f754eae8,-177.1336,-127.177,-1.8742
welsh rock,981968f3,-116.1214,-85.8354,-0.4288
bulgarian pop,6454d3bb,66.8592,-132.0782,24.5399
virginia hip hop,555713c2,151.7244,-30.1598,-2.9594
brega paraense,e16d9476,104.0611,-144.9533,11.4119
thai trap,2650d21d,150.4814,-103.7992,-10.7587
grungegaze,b387cc26,-237.4535,-79.001,8.5419
chicago hardcore,05f67b52,-168.4114,-32.9768,15.5585
sludge metal,557333d4,-205.5456,35.217,7.5302
pacific islands pop,3b072c09,97.0674,-124.9072,0.9063
south african rock,82a8034a,-99.1898,-114.324,-1.7902
swedish indie rock,7c18f519,-129.7938,-26.1686,8.8338
russian post-punk,fe38a87c,-43.8547,-76.1506,-1.5045
smooth saxophone,4aeb547b,52.9325,-4.4986,5.4898
ukrainian rock,6a4cca8b,0.5568,-107.3695,19.7604
chicago soul,8832b480,15.3099,111.3611,4.606
samba moderno,f1f18714,54.6794,44.603,-18.0
freestyle,03a14bb1,118.765,-188.4443,8.589
american shoegaze,6d4e95aa,-223.0349,-43.6485,-9.8548
latin metal,07069e8d,-148.0355,-23.1686,-2.1758
german reggae,b7e37718,166.3489,-71.1285,10.5879
danish metal,14d9d913,-213.357,-85.1611,-8.5491
rock mineiro,be7c9334,-54.6165,-119.6177,12.8471
sound team,538fdbcd,-129.5848,-104.2171,-22.621
canadian electropop,14c3b90b,0.0061,-157.1854,-14.6826
drone,1430fd26,-225.6328,126.166,16.2445
regional mexicano femenil,f9180ce6,87.7282,71.5267,-12.3053
indian edm,f6ef183a,94.0998,-180.3481,3.5123
j-idol,8fe93f69,-80.3817,-201.5699,-11.1792
okinawan pop,ada55c73,-38.0102,-112.6002,13.8863
sandalwood,c927b411,95.4254,-27.3784,-22.3438
scottish new wave,ae05ff3a,-53.9746,-73.9786,-13.7509
indie jazz,1db19bad,82.235,-9.0558,13.2271
afrikaans,0d2eaefb,-0.5613,-53.1922,-11.3574
nz reggae,e7028e6f,146.2505,-158.174,6.1438
israeli rock,741f6213,-43.96,40.6952,28.4049
oklahoma country,8b55ec0e,-94.4765,-31.4273,-0.0688
viking metal,c8a19ad7,-225.1632,-88.1036,3.2286
christian trap,070d8828,118.7917,-60.8286,-6.4262
brega,c9fa46fc,61.007,-33.5151,3.5146
buffalo hip hop,9e909fcb,97.9878,-10.1878,-36.9588
kazakh pop,f1a2fb0f,74.45,-112.7935,29.0524
chill lounge,bdee8a7c,67.3193,-130.0246,25.4579
belly dance,ba3648cb,89.4495,-50.1198,17.0149
minimal tech house,adae5bc4,273.1458,-225.7129,6.517
icelandic pop,55696b16,-7.2107,-13.2617,20.31
classic indo pop,ce639c81,-49.2854,-1.9804,20.3958
oakland indie,ec4a0730,-84.5398,-6.4183,8.4169
surf punk,a267786b,-145.7032,-61.795,-18.1458
australian trap,8a5ef68f,133.5828,-39.0387,2.357
brutal death metal,a964bf03,-213.0835,-11.6161,0.166
christian metal,0155bfd6,-150.6889,-72.3518,-3.9818
japanese vtuber,0648c808,-9.6819,-146.3224,13.9113
south african hip hop,793d8583,140.3931,-14.7404,-13.3688
rhode island rap,e8a636e6,122.4287,-4.0136,-9.7163
austrian pop,b7da4172,26.2917,-93.0019,-0.0432
shaabi,3e0f41bd,63.6537,-49.8091,-11.6328
celtic metal,495190ec,-201.08,-73.9927,-3.6947
salsa peruana,012bdb83,137.3799,46.892,1.5506
tecnobrega,1d8aa9fa,57.613,-98.5418,7.1614
indian lo-fi,ffeed40c,11.2641,15.0187,-0.6458
transpop,1d28a005,11.1205,-52.1114,3.0543
chillstep,3692be0f,-67.0419,-107.3403,-18.2637
japanese trap,125658e8,115.1596,-142.6449,5.0917
egyptian alternative,e58584f7,8.944,-14.4271,13.5358
jersey club,13db0704,209.0706,-176.6834,-10.7886
experimental,2216470a,-82.3086,102.1106,-13.9256
channel pop,03d87c3a,19.0086,75.019,-5.3328
czech drill,43cd3ef5,165.2815,-79.2826,-7.7137
texas metal,a1180553,-185.6242,-14.1871,-17.3441
polish rock,0c830b59,-43.8535,-43.4698,-4.4571
norwegian pop rap,a4f63e15,124.8941,-69.4049,-1.2459
indonesian lo-fi pop,688707c7,11.6423,83.7389,-5.932
samba de roda,176b7aa4,71.9698,112.7323,-16.4042
sda a cappella,df18188e,-118.7697,150.3637,-10.8224
harlem hip hop,bbbd4d46,142.6919,-11.2216,0.3761
danish pop rock,31fd5287,24.1159,-50.7164,11.3654
canadian ccm,55debe2d,-112.6439,-86.0237,3.3184
russian emo rap,d1ec8340,74.6958,-138.198,7.2805
pinoy city pop,30bfd608,24.1378,-27.8571,19.3096
slayer,f0744d60,-185.7779,-157.5615,14.6468
memphis phonk,8b3fe246,122.9472,-156.8455,29.2864
danspunk,0d23e552,37.3206,-56.8532,19.288
polish alternative rap,d951ac79,129.7532,14.5769,-3.6619
uk pop punk,351ff4fe,-164.2401,-195.8678,8.0179
indie rock mexicano,06eb6105,-121.1389,-130.9333,-5.1865
bhangra,47f53289,119.4573,-119.6145,-3.5176
russian punk,cf0cae34,-42.7311,-98.6274,-9.0471
chill dream pop,dcd38eba,-129.9105,-130.1129,-0.2403
quran,d3793ee2,22.0774,252.8862,-84.5265
classic turkish pop,53a285b0,-42.6137,136.2236,-13.1542
dark techno,eaaea8f1,206.6791,-242.8087,-19.5057
gothenburg indie,4bab64d5,-90.7717,5.0668,-9.6569
musica gaucha tradicionalista,b92f8818,125.365,80.1102,0.9238
boston indie,7180be05,-105.8751,26.2885,-6.7333
quebec indie,4734559d,-92.1638,-19.4211,-1.4498
uk house,819a3474,198.3218,-210.5076,27.5868
psychedelic trance,4a555443,149.8206,-224.0647,46.549
neoclassical darkwave,32ec7afc,-169.9811,136.0779,-1.6107
oc rap,fa61569f,127.6077,-43.3402,0.166
rave,7a94a7a4,18.9722,-232.4293,-19.2905
vapor pop,aead3ddc,-17.093,-105.8612,-8.7921
cdo indie,92f5a838,59.497,-55.5453,-27.1207
classic venezuelan pop,14bd8ee1,72.411,92.992,11.0477
kazakh hip hop,422cae07,148.7129,-100.5793,-10.639
guadalajara indie,259f0592,24.8355,-90.0068,22.7929
german alternative rock,d8410280,-91.3388,-154.8419,-11.0579
karadeniz pop,6b1d393c,53.4284,-7.8138,6.3088
post-rock,00013493,-193.8231,61.8324,1.3938
children's folk,70a70ad3,141.426,100.4801,5.8614
polish drill,fdc12394,151.7249,-70.0695,15.452
vaporwave,c6012e9b,-47.8721,-81.546,15.235
hungarian hip hop,f5626478,171.1677,1.2259,14.5262
alternative americana,12aad5db,-45.5542,73.9058,6.1908
hyphy,c9f0ebe8,157.8503,-71.5186,13.8654
easycore,ef2a3a50,-176.346,-207.2724,10.1603
new beat,0e22a88f,66.3786,-205.0817,-3.5962
indonesian hip hop,9300bf87,134.5905,-121.0791,-0.3267
instrumental grime,fa481a0e,137.5954,-133.9604,4.8627
punk urbano,f23213ea,-118.1451,-134.5137,-5.9517
reggae uruguayo,5fdfbd97,-13.675,-158.5569,2.6134
khaliji,37fcd00d,23.3144,5.8332,-6.0456
opera metal,cab8b432,-204.3047,-68.3102,-6.876
scottish indie,b777806b,-120.4364,-40.5083,17.3352
ann arbor indie,52544b4e,-44.1743,40.5756,6.1745
study beats,b301f824,185.5427,15.3735,2.5052
vintage italian soundtrack,1fbb0f92,-126.1603,152.5013,-10.8899
folk rock italiano,0c12df87,0.0628,91.0121,1.3529
mexican pop punk,23f2388d,-116.8883,-132.7523,-0.1162
midwest emo,51c08355,-132.9903,-12.4826,-5.2372
cumbia paraguaya,deec6d11,160.3739,-124.8176,-1.5979
italian romanticism,163cbf59,-138.8089,288.7319,-14.7442
russian drill,b464410d,161.705,-155.2004,14.0854
swedish hard rock,e6896598,-175.8509,-92.5905,-14.7721
romanian house,9e8e6b99,139.0532,-198.5775,-5.1776
viral trap,f8772dc2,180.0452,-142.1398,-3.4615
liverpool indie,6d84348c,-102.003,-36.4541,-0.0381
pinoy drill,b97fdaf2,154.4422,-106.6517,-9.2104
bandinhas,1dcb1b63,87.5817,-100.9262,32.9319
experimental rock,8e8cc6de,-109.1497,58.6139,-12.2085
northern irish indie,b2d6f41b,-95.4818,-89.5251,1.809
bluegrass,8abeed6d,60.6784,109.2707,-25.8949
jazz boom bap,95367428,189.8846,-133.7297,5.7129
early us punk,e8b7c577,-124.8674,11.3244,-13.4294
dub,1ca4b285,279.0608,-88.6463,4.5656
spectra,a1bbc6b1,-155.4291,115.4805,-28.4779
nashville singer-songwriter,c463e62e,-75.3889,81.5636,10.2406
drill chileno,73ce11f1,161.1056,-85.0124,-0.5398
classic danish pop,83c19571,32.9692,31.9563,24.67
ambient guitar,576f7ca2,-234.987,126.5556,55.9725
piano blues,ef556d13,103.2774,193.6489,-25.3358
indian classical,82776bc1,-15.8401,213.8571,0.7704
horror punk,a73fb893,-149.2398,-53.7369,-10.4697
pinoy alternative rap,c52c3f08,169.039,-93.4838,18.6941
yugoslav rock,372f8e21,-34.882,-26.3167,5.8029
turkish instrumental,6877a791,-55.2806,106.587,-12.0015
folk metal,7ac4c732,-205.2628,-106.081,-5.0089
melodic metal,c7688ac6,-221.4247,-155.8116,16.9995
classic french pop,807200fa,16.7304,17.2869,5.1979
russian electronic,312d4424,81.7972,-170.8911,0.0006
new jersey hardcore,3956b94d,-155.6711,5.0745,1.0562
rune folk,2c514364,-140.3578,25.7172,7.8011
french techno,d0453509,194.8765,-226.8065,-3.0567
technical death metal,ee7d747c,-211.9491,-10.2395,0.9479
magyar trap,b9fbba6d,139.211,-87.5535,1.8606
indonesian viral pop,bbf74d61,219.8842,-194.9034,26.1116
rap underground argentino,a354a8d4,163.9198,49.7908,-0.1345
norwegian hip hop,2e3aa901,125.6679,-66.3718,-2.5217
dancehall queen,e056e724,184.8986,-20.4296,14.2673
gospel r&b,3b50bbf3,0.9792,-11.3652,17.7949
polish viral rap,34a04b47,166.3967,-109.6463,6.6968
south african house,30a4ded9,227.2303,-201.9034,8.9398
icelandic classical,07402b5b,-134.0106,202.575,8.0895
viral afropop,b4f24f09,133.8001,55.6009,-5.9458
wave,d7ce7446,-75.7021,-154.7383,3.6915
german metalcore,08ecfed6,-219.2328,-156.7435,17.5675
pop minang,666a1659,-69.5802,-132.1481,11.4385
progressive groove metal,c5c1bb8c,-173.7099,-56.0287,5.1068
deep turkish pop,dfc78952,78.5269,-131.0821,5.284
pink noise,f284e11f,22.1228,-147.8804,-11.5787
contemporary jazz,061c6b1b,9.0039,186.4101,13.8454
classic house,3dec02cd,209.2683,-223.971,-8.178
rhythm and blues,48f577b5,68.5326,128.1312,-7.4571
classic israeli pop,5cb81e87,-9.2614,64.1254,-10.1773
glee club,359daaa0,-45.5146,-16.7668,14.119
american folk revival,6fbb466e,83.9572,232.0534,1.3152
kosovan pop,db3e5121,82.0648,-108.8458,4.3939
rva drill,92018080,177.1502,-71.8884,-2.7211
atmosphere,ffa2fbc7,-311.6623,216.7519,-4.9538
peruvian rock,c808dc22,-41.6018,-32.4903,11.9655
zhenskiy rep,a9258c94,132.8544,-142.5358,4.5004
bc underground hip hop,fab6a2c7,145.4086,-50.0493,3.8376
pinoy indie,e28d71d6,13.6784,-14.0373,13.3001
uk dancehall,91dbebcd,168.9494,-115.6985,-7.9512
kurdish pop,7679414a,30.7822,-8.5701,2.8368
gaming dubstep,313db76c,14.5039,-149.062,-33.5387
danish electronic,6e39fe34,142.0879,-208.4397,-5.0474
spanish folk metal,4517b4e8,-184.5573,-51.9963,2.6327
pinoy singer-songwriter,db36756a,-6.251,72.5854,7.6845
deep latin christian,7b76e64c,5.9187,66.0463,20.9567
north carolina roots,080b38c1,-0.5081,112.4931,5.8956
chill guitar,cc8b322b,255.0628,202.8254,44.6441
folktronica,e50e77ce,-11.3775,46.107,-6.3401
croatian pop,adaca542,-38.5151,-1.216,10.931
swedish soul,a37e3051,62.5393,-102.2877,-21.1761
bergamo indie,8eb3b935,-50.8045,-55.9732,-5.6121
lo-fi house,50e7eb5e,184.6784,-168.4931,-16.9545
puerto rican rock,b4f99c48,19.6368,-52.1062,-1.3972
idol rock,d5f58656,-139.8524,-259.8446,-13.4869
idol,a7ca0337,-40.9629,-38.1785,-7.6648
kolsche karneval,9e542bdc,27.0162,-78.4578,18.7623
rocksteady,18f69120,244.0589,-27.9551,-0.9416
acoustic blues,eddda53f,200.323,213.7345,34.5924
latinx alternative,0b4fec4e,71.7213,-72.2103,-18.8515
frenchcore,26eb1999,-37.2126,-169.9266,1.3398
washington indie,24e47924,-64.4432,50.2104,-17.585
soca,b198258c,157.1385,-124.7417,-1.6631
